date_id,date,year,quarter,month,month_name,day,weekday_name,is_weekend
20231202,2023-12-02,2023,4,12,December,2,Saturday,True
20231203,2023-12-03,2023,4,12,December,3,Sunday,True
20231204,2023-12-04,2023,4,12,December,4,Monday,False
20231205,2023-12-05,2023,4,12,December,5,Tuesday,False
20231206,2023-12-06,2023,4,12,December,6,Wednesday,False
20231207,2023-12-07,2023,4,12,December,7,Thursday,False
20231208,2023-12-08,2023,4,12,December,8,Friday,False
20231209,2023-12-09,2023,4,12,December,9,Saturday,True
20231210,2023-12-10,2023,4,12,December,10,Sunday,True
20231211,2023-12-11,2023,4,12,December,11,Monday,False
20231212,2023-12-12,2023,4,12,December,12,Tuesday,False
20231213,2023-12-13,2023,4,12,December,13,Wednesday,False
20231214,2023-12-14,2023,4,12,December,14,Thursday,False
20231215,2023-12-15,2023,4,12,December,15,Friday,False
20231216,2023-12-16,2023,4,12,December,16,Saturday,True
20231217,2023-12-17,2023,4,12,December,17,Sunday,True
20231218,2023-12-18,2023,4,12,December,18,Monday,False
20231219,2023-12-19,2023,4,12,December,19,Tuesday,False
20231220,2023-12-20,2023,4,12,December,20,Wednesday,False
20231221,2023-12-21,2023,4,12,December,21,Thursday,False
20231222,2023-12-22,2023,4,12,December,22,Friday,False
20231223,2023-12-23,2023,4,12,December,23,Saturday,True
20231224,2023-12-24,2023,4,12,December,24,Sunday,True
20231225,2023-12-25,2023,4,12,December,25,Monday,False
20231226,2023-12-26,2023,4,12,December,26,Tuesday,False
20231227,2023-12-27,2023,4,12,December,27,Wednesday,False
20231228,2023-12-28,2023,4,12,December,28,Thursday,False
20231229,2023-12-29,2023,4,12,December,29,Friday,False
20231230,2023-12-30,2023,4,12,December,30,Saturday,True
20231231,2023-12-31,2023,4,12,December,31,Sunday,True
20240101,2024-01-01,2024,1,1,January,1,Monday,False
20240102,2024-01-02,2024,1,1,January,2,Tuesday,False
20240103,2024-01-03,2024,1,1,January,3,Wednesday,False
20240104,2024-01-04,2024,1,1,January,4,Thursday,False
20240105,2024-01-05,2024,1,1,January,5,Friday,False
20240106,2024-01-06,2024,1,1,January,6,Saturday,True
20240107,2024-01-07,2024,1,1,January,7,Sunday,True
20240108,2024-01-08,2024,1,1,January,8,Monday,False
20240109,2024-01-09,2024,1,1,January,9,Tuesday,False
20240110,2024-01-10,2024,1,1,January,10,Wednesday,False
20240111,2024-01-11,2024,1,1,January,11,Thursday,False
20240112,2024-01-12,2024,1,1,January,12,Friday,False
20240113,2024-01-13,2024,1,1,January,13,Saturday,True
20240114,2024-01-14,2024,1,1,January,14,Sunday,True
20240115,2024-01-15,2024,1,1,January,15,Monday,False
20240116,2024-01-16,2024,1,1,January,16,Tuesday,False
20240117,2024-01-17,2024,1,1,January,17,Wednesday,False
20240118,2024-01-18,2024,1,1,January,18,Thursday,False
20240119,2024-01-19,2024,1,1,January,19,Friday,False
20240120,2024-01-20,2024,1,1,January,20,Saturday,True
20240121,2024-01-21,2024,1,1,January,21,Sunday,True
20240122,2024-01-22,2024,1,1,January,22,Monday,False
20240123,2024-01-23,2024,1,1,January,23,Tuesday,False
20240124,2024-01-24,2024,1,1,January,24,Wednesday,False
20240125,2024-01-25,2024,1,1,January,25,Thursday,False
20240126,2024-01-26,2024,1,1,January,26,Friday,False
20240127,2024-01-27,2024,1,1,January,27,Saturday,True
20240128,2024-01-28,2024,1,1,January,28,Sunday,True
20240129,2024-01-29,2024,1,1,January,29,Monday,False
20240130,2024-01-30,2024,1,1,January,30,Tuesday,False
20240131,2024-01-31,2024,1,1,January,31,Wednesday,False
20240201,2024-02-01,2024,1,2,February,1,Thursday,False
20240202,2024-02-02,2024,1,2,February,2,Friday,False
20240203,2024-02-03,2024,1,2,February,3,Saturday,True
20240204,2024-02-04,2024,1,2,February,4,Sunday,True
20240205,2024-02-05,2024,1,2,February,5,Monday,False
20240206,2024-02-06,2024,1,2,February,6,Tuesday,False
20240207,2024-02-07,2024,1,2,February,7,Wednesday,False
20240208,2024-02-08,2024,1,2,February,8,Thursday,False
20240209,2024-02-09,2024,1,2,February,9,Friday,False
20240210,2024-02-10,2024,1,2,February,10,Saturday,True
20240211,2024-02-11,2024,1,2,February,11,Sunday,True
20240212,2024-02-12,2024,1,2,February,12,Monday,False
20240213,2024-02-13,2024,1,2,February,13,Tuesday,False
20240214,2024-02-14,2024,1,2,February,14,Wednesday,False
20240215,2024-02-15,2024,1,2,February,15,Thursday,False
20240216,2024-02-16,2024,1,2,February,16,Friday,False
20240217,2024-02-17,2024,1,2,February,17,Saturday,True
20240218,2024-02-18,2024,1,2,February,18,Sunday,True
20240219,2024-02-19,2024,1,2,February,19,Monday,False
20240220,2024-02-20,2024,1,2,February,20,Tuesday,False
20240221,2024-02-21,2024,1,2,February,21,Wednesday,False
20240222,2024-02-22,2024,1,2,February,22,Thursday,False
20240223,2024-02-23,2024,1,2,February,23,Friday,False
20240224,2024-02-24,2024,1,2,February,24,Saturday,True
20240225,2024-02-25,2024,1,2,February,25,Sunday,True
20240226,2024-02-26,2024,1,2,February,26,Monday,False
20240227,2024-02-27,2024,1,2,February,27,Tuesday,False
20240228,2024-02-28,2024,1,2,February,28,Wednesday,False
20240229,2024-02-29,2024,1,2,February,29,Thursday,False
20240301,2024-03-01,2024,1,3,March,1,Friday,False
20240302,2024-03-02,2024,1,3,March,2,Saturday,True
20240303,2024-03-03,2024,1,3,March,3,Sunday,True
20240304,2024-03-04,2024,1,3,March,4,Monday,False
20240305,2024-03-05,2024,1,3,March,5,Tuesday,False
20240306,2024-03-06,2024,1,3,March,6,Wednesday,False
20240307,2024-03-07,2024,1,3,March,7,Thursday,False
20240308,2024-03-08,2024,1,3,March,8,Friday,False
20240309,2024-03-09,2024,1,3,March,9,Saturday,True
20240310,2024-03-10,2024,1,3,March,10,Sunday,True
20240311,2024-03-11,2024,1,3,March,11,Monday,False
20240312,2024-03-12,2024,1,3,March,12,Tuesday,False
20240313,2024-03-13,2024,1,3,March,13,Wednesday,False
20240314,2024-03-14,2024,1,3,March,14,Thursday,False
20240315,2024-03-15,2024,1,3,March,15,Friday,False
20240316,2024-03-16,2024,1,3,March,16,Saturday,True
20240317,2024-03-17,2024,1,3,March,17,Sunday,True
20240318,2024-03-18,2024,1,3,March,18,Monday,False
20240319,2024-03-19,2024,1,3,March,19,Tuesday,False
20240320,2024-03-20,2024,1,3,March,20,Wednesday,False
20240321,2024-03-21,2024,1,3,March,21,Thursday,False
20240322,2024-03-22,2024,1,3,March,22,Friday,False
20240323,2024-03-23,2024,1,3,March,23,Saturday,True
20240324,2024-03-24,2024,1,3,March,24,Sunday,True
20240325,2024-03-25,2024,1,3,March,25,Monday,False
20240326,2024-03-26,2024,1,3,March,26,Tuesday,False
20240327,2024-03-27,2024,1,3,March,27,Wednesday,False
20240328,2024-03-28,2024,1,3,March,28,Thursday,False
20240329,2024-03-29,2024,1,3,March,29,Friday,False
20240330,2024-03-30,2024,1,3,March,30,Saturday,True
20240331,2024-03-31,2024,1,3,March,31,Sunday,True
20240401,2024-04-01,2024,2,4,April,1,Monday,False
20240402,2024-04-02,2024,2,4,April,2,Tuesday,False
20240403,2024-04-03,2024,2,4,April,3,Wednesday,False
20240404,2024-04-04,2024,2,4,April,4,Thursday,False
20240405,2024-04-05,2024,2,4,April,5,Friday,False
20240406,2024-04-06,2024,2,4,April,6,Saturday,True
20240407,2024-04-07,2024,2,4,April,7,Sunday,True
20240408,2024-04-08,2024,2,4,April,8,Monday,False
20240409,2024-04-09,2024,2,4,April,9,Tuesday,False
20240410,2024-04-10,2024,2,4,April,10,Wednesday,False
20240411,2024-04-11,2024,2,4,April,11,Thursday,False
20240412,2024-04-12,2024,2,4,April,12,Friday,False
20240413,2024-04-13,2024,2,4,April,13,Saturday,True
20240414,2024-04-14,2024,2,4,April,14,Sunday,True
20240415,2024-04-15,2024,2,4,April,15,Monday,False
20240416,2024-04-16,2024,2,4,April,16,Tuesday,False
20240417,2024-04-17,2024,2,4,April,17,Wednesday,False
20240418,2024-04-18,2024,2,4,April,18,Thursday,False
