nps_id,responded_date_id,customer_id,channel_id,score,comment,responded_at_time
13000001150,20240109,209,2,9,Muy conforme con la calidad,04:38:02
13000001704,20240109,1042,2,4,Podría mejorar el empaque,16:42:49
13000002029,20240110,308,2,8,Tardó un poco más de lo esperado,00:19:18
13000000613,20240111,75,2,10,Volvería a comprar,09:55:08
13000002314,20240111,1303,2,7,Tardó un poco más de lo esperado,09:35:02
13000000112,20240112,1101,1,3,Atención muy buena,20:11:48
13000000276,20240112,948,1,6,Entrega rápida y producto excelente,16:25:54
13000000850,20240112,1129,2,8,Muy conforme con la calidad,20:20:44
13000002565,20240112,741,2,6,Tardó un poco más de lo esperado,22:27:19
13000000220,20240113,644,2,10,Atención muy buena,16:30:11
13000000600,20240113,1346,1,10,Podría mejorar el empaque,07:39:50
13000000632,20240113,117,2,9,Volvería a comprar,03:24:59
13000000102,20240114,114,2,10,Atención muy buena,03:49:59
13000000538,20240114,27,2,8,Tardó un poco más de lo esperado,12:52:57
13000000576,20240114,311,1,8,Todo perfecto,09:57:37
13000001302,20240114,349,1,10,Todo perfecto,18:20:27
13000001662,20240114,1323,1,2,Todo perfecto,01:42:50
13000002207,20240114,574,1,4,Podría mejorar el empaque,04:46:08
13000000061,20240115,1335,1,9,Volvería a comprar,01:01:50
13000001237,20240115,1336,2,3,Tardó un poco más de lo esperado,17:10:11
13000001690,20240115,196,1,7,Muy conforme con la calidad,10:14:14
13000000733,20240116,719,1,8,Entrega rápida y producto excelente,19:04:29
13000001547,20240116,890,2,9,Tardó un poco más de lo esperado,01:20:49
13000002550,20240116,1216,2,4,Todo perfecto,22:58:57
13000000493,20240117,739,2,9,Tardó un poco más de lo esperado,07:11:19
13000000509,20240117,609,1,9,Volvería a comprar,23:52:25
13000000777,20240117,1223,2,8,Todo perfecto,08:38:27
13000002486,20240117,1234,1,9,Tardó un poco más de lo esperado,11:24:03
13000000206,20240118,758,2,5,Muy conforme con la calidad,11:57:25
13000000832,20240118,852,2,5,Atención muy buena,19:22:17
13000000548,20240119,253,2,9,Todo perfecto,06:43:36
13000000662,20240119,1409,2,1,Podría mejorar el empaque,23:29:51
13000000912,20240119,825,1,8,Tardó un poco más de lo esperado,06:40:47
13000001771,20240119,1038,1,9,Podría mejorar el empaque,19:18:46
13000001940,20240119,1120,2,6,Atención muy buena,15:43:25
13000002467,20240119,1433,2,8,,07:56:40
13000002493,20240119,358,1,5,Podría mejorar el empaque,13:03:02
13000000105,20240120,445,1,10,Tardó un poco más de lo esperado,05:58:36
13000001100,20240120,37,1,10,Muy conforme con la calidad,01:08:30
13000001142,20240120,56,2,9,Muy conforme con la calidad,17:02:05
13000002346,20240120,918,2,9,Atención muy buena,06:36:38
13000002630,20240120,203,2,1,Volvería a comprar,06:49:44
13000000442,20240121,1309,2,7,Atención muy buena,05:12:12
13000002286,20240121,980,1,7,Entrega rápida y producto excelente,00:42:55
13000000439,20240122,1495,1,8,Podría mejorar el empaque,09:35:45
13000000793,20240122,584,1,7,Entrega rápida y producto excelente,17:16:43
13000001317,20240122,556,1,9,,13:58:11
13000001823,20240122,1184,2,7,Podría mejorar el empaque,06:02:21
13000002185,20240122,520,1,8,,19:45:06
13000000114,20240123,1379,1,7,Tardó un poco más de lo esperado,11:07:47
13000000291,20240123,683,2,4,Tardó un poco más de lo esperado,05:42:51
13000000412,20240123,334,1,3,Todo perfecto,14:46:59
13000000679,20240123,1496,2,8,,02:25:41
13000000812,20240123,852,1,0,Atención muy buena,13:21:19
13000001603,20240123,45,1,8,Muy conforme con la calidad,08:47:33
13000001964,20240123,814,2,9,Volvería a comprar,07:59:28
13000002213,20240123,560,1,10,Tardó un poco más de lo esperado,06:38:03
13000001276,20240124,1234,2,8,Tardó un poco más de lo esperado,22:46:08
13000001872,20240124,548,2,9,Todo perfecto,00:17:19
13000000246,20240125,1084,1,10,Podría mejorar el empaque,18:58:03
13000000470,20240125,580,1,8,Muy conforme con la calidad,14:37:53
13000001726,20240125,1220,2,9,Podría mejorar el empaque,01:11:59
13000002059,20240125,125,1,8,Volvería a comprar,09:34:52
13000001323,20240126,32,1,9,Muy conforme con la calidad,03:58:31
13000002392,20240126,598,2,7,Volvería a comprar,12:32:19
13000002568,20240126,313,1,4,Tardó un poco más de lo esperado,15:03:38
13000000274,20240127,1339,1,7,Tardó un poco más de lo esperado,18:27:33
13000000500,20240127,381,1,7,Entrega rápida y producto excelente,08:24:37
13000000689,20240127,622,2,7,Podría mejorar el empaque,22:35:20
13000002402,20240127,713,1,7,,15:01:17
13000000023,20240128,692,1,9,Muy conforme con la calidad,17:20:54
13000000084,20240128,818,1,10,Volvería a comprar,01:51:31
13000000244,20240128,539,1,6,Tardó un poco más de lo esperado,15:36:48
13000000649,20240128,312,1,10,Todo perfecto,15:04:33
13000000706,20240128,1173,1,1,,18:09:35
