payment_id,paid_date_id,customer_id,channel_id,store_id,billing_address_id,amount,method,status,transaction_ref,paid_at_time
7000001528,20240101,576,1,,1732.0,80515.5,CARD,PAID,TX-LAJAZUCX0305,15:54:18
7000000515,20240102,733,1,,2644.0,18868.5,GATEWAY,PAID,TX-U1R0DN952B5I,11:07:21
7000003012,20240102,104,2,4.0,3361.0,39204.0,CARD,PAID,TX-C2ITBBUWQBAX,18:10:04
7000003046,20240102,209,2,4.0,,58697.1,CARD,PAID,TX-2BQMI7Z5PROH,14:38:02
7000003297,20240102,1415,2,4.0,2403.0,59486.62,CARD,PAID,TX-HDCQV5IY9DYM,16:53:36
7000004195,20240102,1311,1,,1019.0,16746.0,CARD,PAID,TX-LCSH1H15X4LC,12:10:03
7000005702,20240102,1042,2,2.0,3160.0,18150.0,CASH,PAID,TX-R62UOXOJGQ04,04:42:49
7000006387,20240102,768,1,,1775.0,54972.48,CARD,PAID,TX-RCJ0G196KQD7,16:10:13
7000007187,20240102,487,1,,3557.0,30240.0,CARD,PAID,TX-RS80BOCN9I5W,18:01:27
7000008067,20240102,1149,1,,4022.0,68490.6,GATEWAY,PAID,TX-8T8CVWCJJEVS,03:24:48
7000008330,20240102,308,2,3.0,3972.0,43560.0,CARD,PAID,TX-2154F8UKPDRT,05:19:18
7000009623,20240102,887,1,,,37933.5,CARD,PAID,TX-WMB0RX2VUZHL,11:22:00
7000009757,20240102,88,1,,4082.0,40404.0,CARD,PAID,TX-RSHFRYRO7AK2,19:36:04
7000010905,20240102,1290,1,,2268.0,33870.0,CARD,PAID,TX-RTO6O35ZVEQI,03:43:48
7000011963,20240102,607,2,1.0,,57208.8,TRANSFER,PAID,TX-L6EXGZV7DP2Q,17:44:37
7000001338,20240103,1303,2,1.0,2851.0,46899.6,CASH,PAID,TX-Q66BZAD1ZWAE,16:35:02
7000001476,20240103,1414,1,,2762.0,50505.0,CARD,PAID,TX-EGVP6U3T78H9,07:29:03
7000002455,20240103,449,1,,2237.0,108285.0,GATEWAY,PAID,TX-O8U5797BU1BO,18:37:18
7000003024,20240103,785,1,,1276.0,16141.08,GATEWAY,PAID,TX-90CP5F515212,21:33:55
7000003819,20240103,1323,2,2.0,3831.0,49005.0,CASH,PAID,TX-F0RBMS0SOGQ2,06:48:22
7000005119,20240103,594,1,,4033.0,70959.0,CARD,PAID,TX-3N5EUO4N4SPF,01:33:52
7000005526,20240103,1335,1,,1869.0,14268.0,GATEWAY,PAID,TX-K5E13AF3WJ6X,14:01:50
7000006937,20240103,1390,1,,3642.0,37074.0,GATEWAY,PAID,TX-8AALZH5E06OE,04:43:10
7000007507,20240103,691,1,,3766.0,60929.55,CARD,PAID,TX-BJBA438MB2DM,18:01:10
7000007550,20240103,597,1,,2928.0,17152.56,CARD,PAID,TX-DDMVCO0OXZQC,12:01:09
7000008269,20240103,498,2,4.0,3686.0,47335.2,CARD,PAID,TX-3G2XSTZ765WC,14:57:42
7000008588,20240103,574,1,,3768.0,87838.5,CARD,PAID,TX-HXZVKX03JDVW,18:46:08
7000008841,20240103,1386,1,,3730.0,27336.0,CARD,PAID,TX-FGGSYHEKO2X5,02:03:41
7000008858,20240103,886,1,,,30167.4,GATEWAY,PAID,TX-PU61K4W45W9F,14:47:13
7000010851,20240103,361,1,,2836.0,69144.0,GATEWAY,PAID,TX-54A622G7FYAJ,00:21:38
